time,price
2019-07-02 16:00:00,70.0
2019-07-02 16:15:00,69.4
2019-07-02 16:30:00,62.199999999999996
2019-07-02 16:45:00,56.0
2019-07-02 17:00:00,43.0
2019-07-02 17:15:00,67.174092
2019-07-02 17:30:00,62.792089999999995
2019-07-02 17:45:00,59.094017
2019-07-02 18:00:00,57.5
2019-07-02 18:15:00,50.5
2019-07-02 18:30:00,40.0
2019-07-02 18:45:00,30.0
2019-07-02 19:00:00,45.1
2019-07-02 19:15:00,40.2
2019-07-02 19:30:00,35.0
2019-07-02 19:45:00,30.5
2019-07-02 20:00:00,52.2
2019-07-02 20:15:00,30.0
2019-07-02 20:30:00,40.0
2019-07-02 20:45:00,30.0
2019-07-02 21:00:00,35.8
2019-07-02 21:15:00,48.5
2019-07-02 21:30:00,39.4
2019-07-02 21:45:00,25.2
2019-07-02 22:00:00,62.0
2019-07-02 22:15:00,35.2
2019-07-02 22:30:00,28.9
2019-07-02 22:45:00,50.0
2019-07-02 23:00:00,27.599999999999998
2019-07-02 23:15:00,34.0
2019-07-02 23:30:00,5.0
2019-07-02 23:45:00,-1.0
2019-07-03 00:00:00,66.0
2019-07-03 00:15:00,31.0
2019-07-03 00:30:00,26.0
2019-07-03 00:45:00,-8.0
2019-07-03 01:00:00,62.0
2019-07-03 01:15:00,66.9
2019-07-03 01:30:00,20.2
2019-07-03 01:45:00,1.9
2019-07-03 02:00:00,36.0
2019-07-03 02:15:00,46.6
2019-07-03 02:30:00,51.549287
2019-07-03 02:45:00,41.039814
2019-07-03 03:00:00,58.9
2019-07-03 03:15:00,33.099999999999994
2019-07-03 03:30:00,39.0
2019-07-03 03:45:00,20.0
2019-07-03 04:00:00,27.0
2019-07-03 04:15:00,25.5
2019-07-03 04:30:00,20.5
2019-07-03 04:45:00,5.0
2019-07-03 05:00:00,2.0
2019-07-03 05:15:00,33.0
2019-07-03 05:30:00,24.0
2019-07-03 05:45:00,27.2
2019-07-03 06:00:00,-14.0
2019-07-03 06:15:00,29.0
2019-07-03 06:30:00,37.699999999999996
2019-07-03 06:45:00,38.6
2019-07-03 07:00:00,24.1
2019-07-03 07:15:00,52.900000000000006
2019-07-03 07:30:00,40.0
2019-07-03 07:45:00,30.0
2019-07-03 08:00:00,39.1
2019-07-03 08:15:00,42.2
2019-07-03 08:30:00,44.1
2019-07-03 08:45:00,55.0
2019-07-03 09:00:00,42.0
2019-07-03 09:15:00,47.7
2019-07-03 09:30:00,37.0
2019-07-03 09:45:00,38.800000000000004
2019-07-03 10:00:00,40.099999999999994
2019-07-03 10:15:00,46.0
2019-07-03 10:30:00,45.0
2019-07-03 10:45:00,48.0
2019-07-03 11:00:00,35.0
2019-07-03 11:15:00,41.0
2019-07-03 11:30:00,40.099999999999994
2019-07-03 11:45:00,37.5
2019-07-03 12:00:00,35.0
2019-07-03 12:15:00,38.0
2019-07-03 12:30:00,45.0
2019-07-03 12:45:00,41.8
2019-07-03 13:00:00,43.0
2019-07-03 13:15:00,35.0
2019-07-03 13:30:00,33.5
2019-07-03 13:45:00,25.0
2019-07-03 14:00:00,45.0
2019-07-03 14:15:00,44.0
2019-07-03 14:30:00,39.0
2019-07-03 14:45:00,30.0
2019-07-03 15:00:00,44.0
2019-07-03 15:15:00,36.0
2019-07-03 15:30:00,28.5
2019-07-03 15:45:00,22.0
2019-07-03 16:00:00,5.0
2019-07-03 16:15:00,32.4
2019-07-03 16:30:00,36.0
2019-07-03 16:45:00,32.0
2019-07-03 17:00:00,39.1
2019-07-03 17:15:00,42.281314
2019-07-03 17:30:00,46.428999999999995
2019-07-03 17:45:00,42.722086
2019-07-03 18:00:00,46.0
2019-07-03 18:15:00,46.0
2019-07-03 18:30:00,34.3
2019-07-03 18:45:00,48.9
2019-07-03 19:00:00,49.099999999999994
2019-07-03 19:15:00,26.4
2019-07-03 19:30:00,13.4
2019-07-03 19:45:00,15.0
2019-07-03 20:00:00,43.0
2019-07-03 20:15:00,7.2
2019-07-03 20:30:00,-19.7
2019-07-03 20:45:00,-10.0
2019-07-03 21:00:00,50.0
2019-07-03 21:15:00,48.0
2019-07-03 21:30:00,20.299999999999997
2019-07-03 21:45:00,-7.0
2019-07-03 22:00:00,43.9
2019-07-03 22:15:00,50.0
2019-07-03 22:30:00,39.0
2019-07-03 22:45:00,20.1
2019-07-03 23:00:00,39.300000000000004
2019-07-03 23:15:00,30.0
2019-07-03 23:30:00,10.3
2019-07-03 23:45:00,-18.0
2019-07-04 00:00:00,45.0
2019-07-04 00:15:00,41.0
2019-07-04 00:30:00,49.0
2019-07-04 00:45:00,30.0
2019-07-04 01:00:00,45.0
2019-07-04 01:15:00,75.0
2019-07-04 01:30:00,74.0
2019-07-04 01:45:00,53.0
2019-07-04 02:00:00,64.9
2019-07-04 02:15:00,54.0
2019-07-04 02:30:00,48.35378
2019-07-04 02:45:00,43.737575
2019-07-04 03:00:00,37.400000000000006
2019-07-04 03:15:00,34.9
2019-07-04 03:30:00,27.900000000000002
2019-07-04 03:45:00,40.0
2019-07-04 04:00:00,8.7
2019-07-04 04:15:00,48.800000000000004
2019-07-04 04:30:00,45.0
2019-07-04 04:45:00,37.400000000000006
2019-07-04 05:00:00,10.5
2019-07-04 05:15:00,34.0
2019-07-04 05:30:00,53.0
2019-07-04 05:45:00,63.0
2019-07-04 06:00:00,11.0
2019-07-04 06:15:00,61.9
2019-07-04 06:30:00,53.900000000000006
2019-07-04 06:45:00,95.0
2019-07-04 07:00:00,50.0
2019-07-04 07:15:00,59.0
2019-07-04 07:30:00,70.0
2019-07-04 07:45:00,84.0
2019-07-04 08:00:00,51.2
2019-07-04 08:15:00,54.0
2019-07-04 08:30:00,55.0
2019-07-04 08:45:00,50.9
2019-07-04 09:00:00,40.0
2019-07-04 09:15:00,37.0
2019-07-04 09:30:00,42.6
2019-07-04 09:45:00,68.0
2019-07-04 10:00:00,54.0
2019-07-04 10:15:00,90.0
2019-07-04 10:30:00,92.355194
2019-07-04 10:45:00,83.34755200000001
2019-07-04 11:00:00,54.24246
2019-07-04 11:15:00,57.275710000000004
2019-07-04 11:30:00,55.641355000000004
2019-07-04 11:45:00,55.232218
2019-07-04 12:00:00,50.706944
2019-07-04 12:15:00,50.680456
2019-07-04 12:30:00,45.541916
2019-07-04 12:45:00,51.4875
2019-07-04 13:00:00,38.84863
2019-07-04 13:15:00,42.0
2019-07-04 13:30:00,50.0
2019-07-04 13:45:00,38.0
2019-07-04 14:00:00,27.0
2019-07-04 14:15:00,58.0
2019-07-04 14:30:00,70.0
2019-07-04 14:45:00,71.0
2019-07-04 15:00:00,63.0
2019-07-04 15:15:00,60.0
2019-07-04 15:30:00,55.5
2019-07-04 15:45:00,47.1
2019-07-04 16:00:00,33.2
2019-07-04 16:15:00,49.2
2019-07-04 16:30:00,48.300000000000004
2019-07-04 16:45:00,54.0
2019-07-04 17:00:00,46.800000000000004
2019-07-04 17:15:00,54.668579
2019-07-04 17:30:00,54.006641
2019-07-04 17:45:00,54.571003
2019-07-04 18:00:00,67.7
2019-07-04 18:15:00,73.0
2019-07-04 18:30:00,65.10000000000001
2019-07-04 18:45:00,57.0
2019-07-04 19:00:00,52.5
2019-07-04 19:15:00,27.5
2019-07-04 19:30:00,29.0
2019-07-04 19:45:00,20.0
2019-07-04 20:00:00,38.0
2019-07-04 20:15:00,40.2
2019-07-04 20:30:00,53.0
